population,2013,1319,471
population,2013,1320,3651
population,2013,1321,912
population,2013,1322,4420
population,2013,1323,979
population,2013,1325,964
population,2013,1328,602
population,2013,1329,143
population,2013,1330,193
population,2013,1331,168
population,2013,1332,700
population,2013,1333,2926
population,2013,1334,547
population,2013,1335,354
population,2013,1336,1121
population,2013,1337,1226
population,2013,1338,1180
population,2013,1339,1406
population,2013,1342,536
population,2013,1343,1719
population,2013,1344,5505
population,2013,1345,2216
population,2013,1346,893
population,2013,1347,1818
population,2013,1348,2783
population,2013,1349,444
population,2013,1350,2522
population,2013,1351,1501
population,2013,1352,555
population,2013,1353,1630
population,2013,1354,9635
population,2013,1355,466
population,2013,1356,214
population,2013,1357,473
population,2013,1358,408
population,2013,1359,230
population,2013,1360,1547
population,2013,1361,1427
population,2013,1362,789
population,2013,1363,1645
population,2013,1364,733
population,2013,1365,1076
population,2013,1366,957
population,2013,1367,747
population,2013,1368,752
population,2013,1369,894
population,2013,1370,1781
population,2013,1371,1324
population,2013,1372,427
population,2013,1373,1101
population,2013,1374,1717
population,2013,1375,800
population,2013,1376,3903
population,2013,1378,2469
population,2013,1379,734
population,2013,1380,688
population,2013,1381,894
population,2013,1382,294
population,2013,1383,1475
population,2013,1384,2240
population,2013,1385,976
population,2013,1386,1089
population,2013,1387,194
population,2013,1388,1091
population,2013,1389,1826
population,2013,1390,1068
population,2013,1391,290
population,2013,1392,677
population,2013,1393,508
population,2013,1396,1036
population,2013,1397,1059
population,2013,1398,1236
population,2013,1399,1873
population,2013,1400,141
population,2013,1401,2028
population,2013,1402,675
population,2013,1403,1294
population,2013,1404,125
population,2013,1405,1199
population,2013,1406,169
population,2013,1407,965
population,2013,1408,694
population,2013,1410,320
population,2013,1411,264
population,2013,1412,557
population,2013,1415,436
population,2013,1416,1067
population,2013,1418,1021
population,2013,1419,6006
population,2013,1420,1630
population,2013,1421,719
population,2013,1422,1353
population,2013,1423,810
population,2013,1424,1657
population,2013,1425,298
population,2013,1426,2524
population,2013,1427,6708
population,2013,1428,119
population,2013,1429,671
population,2013,1430,527
population,2013,1431,1215
population,2013,1432,259
population,2013,1433,322
population,2013,1434,375
population,2013,1435,2157
population,2013,1436,527
population,2013,1437,234
population,2013,1439,99
population,2013,1441,680
population,2013,1443,4449
population,2013,1444,1160
population,2013,1445,654
population,2013,1446,1421
population,2013,1447,1214
population,2013,1448,351
population,2013,1449,681
population,2013,1450,3350
population,2013,1451,6258
population,2013,1452,1108
population,2013,1453,710
population,2013,1454,997
population,2013,1456,73
population,2013,1457,2919
population,2013,2001,525
population,2013,2002,620
population,2013,2003,1016
population,2013,2004,196
population,2013,2005,395
population,2013,2006,265
population,2013,2007,115
population,2013,2008,304
population,2013,2009,529
population,2013,2010,173
population,2013,2011,1132
population,2013,2012,68
population,2013,2013,414
population,2013,2014,742
population,2013,2015,80
population,2013,2016,208
population,2013,2017,304
population,2013,2018,2514
population,2013,2019,385
population,2013,2020,464
population,2013,2021,83
population,2013,2022,408
population,2013,2023,108
population,2013,2024,54
population,2013,2025,362
population,2013,2027,249
population,2013,2028,2616
population,2013,2029,375
population,2013,2030,296
population,2013,2031,664
population,2013,2032,240
population,2013,2033,108
population,2013,2034,103
population,2013,2035,283
population,2013,2036,88
population,2013,2037,1398
population,2013,2038,74
population,2013,2039,177
population,2013,2040,177
population,2013,2041,827
population,2013,2042,408
population,2013,2043,71
population,2013,2044,29
population,2013,2046,556
population,2013,2047,130
population,2013,2048,117
population,2013,2049,739
population,2013,2050,314
population,2013,2051,385
population,2013,2052,143
population,2013,2053,557
population,2013,2054,529
population,2013,2055,99
population,2013,2056,170
population,2013,2057,1469
population,2013,2058,803
population,2013,2059,2692
population,2013,2060,284
population,2013,2061,285
population,2013,2062,141
population,2013,2063,382
population,2013,2064,3861
population,2013,2065,634
population,2013,2066,212
population,2013,2067,217
population,2013,2068,108
population,2013,2069,121
population,2013,2070,444
population,2013,2071,636
population,2013,2072,188
population,2013,2073,592
population,2013,2074,615
population,2013,2075,203
population,2013,2076,175
population,2013,2078,155
population,2013,2079,161
population,2013,2080,364
population,2013,2081,490
population,2013,2082,110
population,2013,2083,719
population,2013,2084,262
population,2013,2085,1012
population,2013,2086,1068
population,2013,2087,30
population,2013,2088,67
population,2013,2089,1143
population,2013,2090,214
population,2013,2091,103
population,2013,2093,1236
population,2013,2094,408
population,2013,2095,5750
population,2013,2096,193
population,2013,2097,259
population,2013,2098,383
population,2013,2099,243
population,2013,2100,136
population,2013,2101,203
population,2013,2102,207
population,2013,2103,1277
population,2013,2104,103
population,2013,2105,201
population,2013,2106,829
population,2013,2107,101
population,2013,2108,147
population,2013,2109,496
population,2013,2110,2250
population,2013,2111,706
population,2013,2112,609
population,2013,2114,1397
population,2013,2115,223
population,2013,2116,132
population,2013,2117,72
population,2013,2118,118
population,2013,2119,345
population,2013,2120,196
population,2013,2121,257
population,2013,2122,57
population,2013,2123,295
population,2013,2124,640
population,2013,2125,219
population,2013,2126,516
population,2013,2127,194
population,2013,2128,1558
population,2013,2129,20
population,2013,2130,184
population,2013,2131,1911
population,2013,2132,207
population,2013,2133,424
population,2013,2134,878
population,2013,2135,1196
population,2013,2136,133
population,2013,2137,125
population,2013,2138,190
population,2013,2139,432
population,2013,2140,453
population,2013,2141,1827
population,2013,2142,241
population,2013,2143,197
population,2013,2144,139
population,2013,2145,569
population,2013,2146,83
population,2013,2148,260
population,2013,2149,64
population,2013,2150,70
population,2013,2151,110
population,2013,2152,91
population,2013,2153,783
population,2013,2154,340
population,2013,2155,179
population,2013,2156,242
population,2013,2157,768
population,2013,2158,280
population,2013,2159,286
population,2013,2160,525
population,2013,2162,289
population,2013,2163,2644
population,2013,2164,323
population,2013,2165,1635
population,2013,2166,353
population,2013,2167,848
population,2013,2168,14189
population,2013,2169,89
population,2013,2170,125
population,2013,2171,88
population,2013,2172,252
population,2013,2173,11874
population,2013,2174,797
population,2013,2175,138
population,2013,2176,200
population,2013,2177,132
population,2013,2178,110
population,2013,2179,354
population,2013,2180,689
population,2013,2181,105
population,2013,2182,140
population,2013,2183,196
population,2013,2184,368
population,2013,2185,391
population,2013,2186,1305
population,2013,2187,1049
population,2013,2188,140
population,2013,2189,381
population,2013,2190,583
population,2013,2191,496
population,2013,2192,385
population,2013,2193,72
population,2013,2194,220
population,2013,2195,897
population,2013,2196,331
population,2013,2197,558
population,2013,2198,222
population,2013,2199,632
population,2013,2200,123
population,2013,2201,467
population,2013,2203,1316
population,2013,2204,72
population,2013,2205,201
population,2013,2206,82
population,2013,2207,208
population,2013,2208,273
population,2013,2209,650
population,2013,2210,386
population,2013,2211,216
population,2013,2212,707
